Status,Title,URL,LocalFile,FileType,Size,LastModified,DownloadResult,Level,Referrer
"Parsed","Automation Planet &#8211; Automate your best experience","https://mohamedradwan.com/","../mohamedradwan.com\mohamedradwan.html","HTML","202818","","200 OK","0",""
"Parsed","Automation Planet","https://mohamedradwan.com/feed/","../mohamedradwan.com\feed\feed.html","HTML","10680","Wed, 24 May 2023 00:15:38 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","Comments for Automation Planet","https://mohamedradwan.com/comments/feed/","../mohamedradwan.com\comments\feed\feed.html","HTML","20032","Wed, 24 May 2023 00:15:38 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/plugins/blog-designer-pro/public/css/font-awesome.min.css?ver=4.5","../mohamedradwan.com\wp-content\plugins\blog-designer-pro\public\css\font-awesome.min.css¿ver=4.5.css","HTML","35539","Mon, 13 Jun 2022 15:24:57 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/plugins/blog-designer-pro/public/css/font-awesome.min.css?ver=1.0","../mohamedradwan.com\wp-content\plugins\blog-designer-pro\public\css\font-awesome.min.css¿ver=1.0.css","HTML","35539","Mon, 13 Jun 2022 15:24:57 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.1.5","../mohamedradwan.com\wp-content\themes\astra\assets\css\minified\main.min.css¿ver=4.1.5.css","HTML","41482","Wed, 24 May 2023 00:05:25 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/astra-local-fonts/astra-local-fonts.css?ver=4.1.5","../mohamedradwan.com\wp-content\astra-local-fonts\astra-local-fonts.css¿ver=4.1.5.css","HTML","2576","Wed, 24 May 2023 00:14:13 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-includes/css/dist/block-library/style.min.css?ver=6.4.3","../mohamedradwan.com\wp-includes\css\dist\block-library\style.min.css¿ver=6.4.3.css","HTML","110147","Wed, 31 Jan 2024 13:33:38 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/plugins/youtube-video-player/admin/gutenberg/style.css?ver=6.4.3","../mohamedradwan.com\wp-content\plugins\youtube-video-player\admin\gutenberg\style.css¿ver=6.4.3.css","HTML","4340","Wed, 24 May 2023 00:03:59 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/plugins/blog-designer-pro/public/css/layouts/sunshiny_slider.css?ver=1.0","../mohamedradwan.com\wp-content\plugins\blog-designer-pro\public\css\layouts\sunshiny_slider.css¿ver=1.0.css","HTML","3623","Mon, 13 Jun 2022 15:24:57 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/plugins/blog-designer-pro/public/css/flexslider.css?ver=1.0","../mohamedradwan.com\wp-content\plugins\blog-designer-pro\public\css\flexslider.css¿ver=1.0.css","HTML","6920","Mon, 13 Jun 2022 15:24:57 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/plugins/blog-designer-pro/admin/css/basic-tools-min.css?ver=1.0","../mohamedradwan.com\wp-content\plugins\blog-designer-pro\admin\css\basic-tools-min.css¿ver=1.0.css","HTML","107394","Mon, 13 Jun 2022 15:24:57 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/plugins/blog-designer-pro/public/css/front.css?ver=1.0","../mohamedradwan.com\wp-content\plugins\blog-designer-pro\public\css\front.css¿ver=1.0.css","HTML","69165","Mon, 13 Jun 2022 15:24:57 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/plugins/recent-tweets-widget/tp_twitter_plugin.css?ver=1.0","../mohamedradwan.com\wp-content\plugins\recent-tweets-widget\tp_twitter_plugin.css¿ver=1.0.css","HTML","529","Sun, 11 Oct 2020 09:45:35 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/uploads/astra-addon/astra-addon-646d565f0196b2-63619848.css?ver=4.0.1","../mohamedradwan.com\wp-content\uploads\astra-addon\astra-addon-646d565f0196b2-63619848.css¿ver=4.0.1.css","HTML","42984","Wed, 24 May 2023 00:12:15 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.20.0","../mohamedradwan.com\wp-content\plugins\elementor\assets\lib\eicons\css\elementor-icons.min.css¿ver=5.20.0.css","HTML","19443","Wed, 24 May 2023 00:03:41 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.13.3","../mohamedradwan.com\wp-content\plugins\elementor\assets\css\frontend-lite.min.css¿ver=3.13.3.css","HTML","83564","Wed, 24 May 2023 00:03:41 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6","../mohamedradwan.com\wp-content\plugins\elementor\assets\lib\swiper\css\swiper.min.css¿ver=5.3.6.css","HTML","12876","Wed, 24 May 2023 00:03:41 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/uploads/elementor/css/post-10413.css?ver=1684886652","../mohamedradwan.com\wp-content\uploads\elementor\css\post-10413.css¿ver=1684886652.css","HTML","1103","Wed, 24 May 2023 00:04:12 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/uploads/elementor/css/post-327.css?ver=1684886652","../mohamedradwan.com\wp-content\uploads\elementor\css\post-327.css¿ver=1684886652.css","HTML","5529","Wed, 24 May 2023 00:04:12 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-includes/css/dashicons.min.css?ver=6.4.3","../mohamedradwan.com\wp-includes\css\dashicons.min.css¿ver=6.4.3.css","HTML","59016","Tue, 20 Apr 2021 19:45:05 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-includes/js/thickbox/thickbox.css?ver=6.4.3","../mohamedradwan.com\wp-includes\js\thickbox\thickbox.css¿ver=6.4.3.css","HTML","2659","Tue, 20 Apr 2021 19:45:06 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/plugins/youtube-video-player/front_end/styles/baze_styles_youtube.css?ver=6.4.3","../mohamedradwan.com\wp-content\plugins\youtube-video-player\front_end\styles\baze_styles_youtube.css¿ver=6.4.3.css","HTML","218","Wed, 24 May 2023 00:03:59 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","../mohamedradwan.com\wp-includes\js\jquery\jquery.min.js¿ver=3.7.1","HTML","87553","Fri, 17 Nov 2023 19:45:13 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","../mohamedradwan.com\wp-includes\js\jquery\jquery-migrate.min.js¿ver=3.4.1","HTML","13577","Tue, 22 Aug 2023 22:18:50 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/plugins/blog-designer-pro/public/js/imagesloaded.pkgd.min.js?ver=1.0","../mohamedradwan.com\wp-content\plugins\blog-designer-pro\public\js\imagesloaded.pkgd.min.js¿ver=1.0","HTML","5324","Mon, 13 Jun 2022 15:24:57 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/plugins/blog-designer-pro/public/js/isotope.pkgd.min.js?ver=1.0","../mohamedradwan.com\wp-content\plugins\blog-designer-pro\public\js\isotope.pkgd.min.js¿ver=1.0","HTML","40847","Mon, 13 Jun 2022 15:24:57 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/themes/astra/assets/js/minified/flexibility.min.js?ver=4.1.5","../mohamedradwan.com\wp-content\themes\astra\assets\js\minified\flexibility.min.js¿ver=4.1.5","HTML","15525","Wed, 24 May 2023 00:05:25 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-includes/js/jquery/ui/core.min.js?ver=1.13.2","../mohamedradwan.com\wp-includes\js\jquery\ui\core.min.js¿ver=1.13.2","HTML","21438","Wed, 24 May 2023 00:23:12 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-includes/js/jquery/ui/tabs.min.js?ver=1.13.2","../mohamedradwan.com\wp-includes\js\jquery\ui\tabs.min.js¿ver=1.13.2","HTML","11937","Tue, 15 Nov 2022 15:59:02 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-includes/js/jquery/ui/accordion.min.js?ver=1.13.2","../mohamedradwan.com\wp-includes\js\jquery\ui\accordion.min.js¿ver=1.13.2","HTML","8814","Wed, 24 May 2023 00:23:12 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/plugins/blog-designer-pro/public/js/ajax.js?ver=1.0","../mohamedradwan.com\wp-content\plugins\blog-designer-pro\public\js\ajax.js¿ver=1.0","HTML","57894","Mon, 13 Jun 2022 15:24:57 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/plugins/blog-designer-pro/public/js/jquery.flexslider-min.js?ver=1.0","../mohamedradwan.com\wp-content\plugins\blog-designer-pro\public\js\jquery.flexslider-min.js¿ver=1.0","HTML","22732","Mon, 13 Jun 2022 15:24:57 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-content/plugins/youtube-video-player/front_end/scripts/youtube_embed_front_end.js?ver=6.4.3","../mohamedradwan.com\wp-content\plugins\youtube-video-player\front_end\scripts\youtube_embed_front_end.js¿ver=6.4.3","HTML","1780","Wed, 24 May 2023 00:03:59 GMT","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-json/","../mohamedradwan.com\wp-json\wp-json.html","HTML","199029","","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-json/wp/v2/pages/327","../mohamedradwan.com\wp-json\wp\v2\pages\327","HTML","30000","","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/xmlrpc.php?rsd","../mohamedradwan.com\xmlrpc.php¿rsd.php","HTML","816","","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmohamedradwan.com%2F","../mohamedradwan.com\wp-json\oembed\1.0\embed¿url=https_¡¡mohamedradwan.com¡","HTML","2058","","200 OK","1","https://mohamedradwan.com/"
"Parsed","","https://mohamedradwan.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmohamedradwan.com%2F&","../mohamedradwan.com\wp-json\oembed\1.0\embed¿url=https_¡¡mohamedradwan.com¡&","HTML","2058","","200 OK","1","https://mohamedradwan.com/"
